REWARDS COMPUTED TO BLOCK: 18010891
address, credit_account_miner, early_community_member, early_liquidity_provider, early_credit_account_user, cider_participants, early_gear_lps, pool ddai, pool dusdc, pool dweth, pool dwbtc, pool dwsteth, pool dfrax, cm dai, cm usdc, cm weth, cm wbtc, cm wsteth, cm frax, total, claimed, to pay
0x234061551704283d357012d650005bc430e1606a, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0x0000000dbf80f29c9ed7d52116f3037f8deb1902, 100000, 0, 0, 0, 5749, 1004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106753, 100000, 6753
0xc5eb2e0556f9c3adfe2b9eb784e7f5f3930a8f9c, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0x890f1815a0935b10126bcfe6dd48ce37ed3064ed, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0x5e968bc1086d87158f1779fc851cf69355953fd6, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0xbeef55cff8b49d032737c3f14389465789bd5354, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0x1ba17114492b5291ccc6d4a4faf6fe74f5a1f6ff, 100000, 0, 0, 0, 5749, 534, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106283, 100000, 6283
0x213657bccc5cf8b74455d110c11d5a8ed6241dec, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0x7ec51cd46d9d29fbf6f16927e1743cf6e0697e41, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0x67428db4518337acf529b07b0b837b46fcfe0819, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
